"","countrycode","region"
"1","AFG","South Asia"
"2","BGD","South Asia"
"3","BTN","South Asia"
"4","MDV","South Asia"
"5","NPL","South Asia"
"6","IND","South Asia"
"7","PAK","South Asia"
"8","LKA","South Asia"
"9","AFG","LDC"
"10","AGO","LDC"
"11","BGD","LDC"
"12","BEN","LDC"
"13","BTN","LDC"
"14","BFA","LDC"
"15","BDI","LDC"
"16","KHM","LDC"
"17","CAF","LDC"
"18","TCD","LDC"
"19","COM","LDC"
"20","COD","LDC"
"21","DJI","LDC"
"22","ERI","LDC"
"23","ETH","LDC"
"24","GMB","LDC"
"25","GIN","LDC"
"26","GNB","LDC"
"27","HTI","LDC"
"28","KIR","LDC"
"29","LAO","LDC"
"30","LSO","LDC"
"31","LBR","LDC"
"32","MDG","LDC"
"33","MWI","LDC"
"34","MLI","LDC"
"35","MRT","LDC"
"36","MOZ","LDC"
"37","MMR","LDC"
"38","NPL","LDC"
"39","NER","LDC"
"40","RWA","LDC"
"41","STP","LDC"
"42","SEN","LDC"
"43","SLE","LDC"
"44","SLB","LDC"
"45","SOM","LDC"
"46","SSD","LDC"
"47","SDN","LDC"
"48","TLS","LDC"
"49","TGO","LDC"
"50","TUV","LDC"
"51","UGA","LDC"
"52","TZA","LDC"
"53","VUT","LDC"
"54","YEM","LDC"
"55","ZMB","LDC"
"56","BHS","SIDS"
"57","BRB","SIDS"
"58","GRD","SIDS"
"59","JAM","SIDS"
"60","COM","SIDS"
"61","FJI","SIDS"
"62","MDV","SIDS"
"63","MUS","SIDS"
"64","STP","SIDS"
"65","TON","SIDS"
"66","LCA","SIDS"
"67","VCT","SIDS"
"68","TTO","SIDS"
"69","WSM","SIDS"
"70","PNG","SIDS"
"71","SLB","SIDS"
"72","TLS","SIDS"
"73","TON","SIDS"
"74","DZA","Africa"
"75","AGO","Africa"
"76","BDI","Africa"
"77","BEN","Africa"
"78","BWA","Africa"
"79","BFA","Africa"
"80","CAF","Africa"
"81","TCD","Africa"
"82","CMR","Africa"
"83","COG","Africa"
"84","ETH","Africa"
"85","GHA","Africa"
"86","GIN","Africa"
"87","CIV","Africa"
"88","KEN","Africa"
"89","LSO","Africa"
"90","MDG","Africa"
"91","MWI","Africa"
"92","MUS","Africa"
"93","MOZ","Africa"
"94","NAM","Africa"
"95","NER","Africa"
"96","NGA","Africa"
"97","RWA","Africa"
"98","SEN","Africa"
"99","SLE","Africa"
"100","ZAF","Africa"
"101","SWZ","Africa"
"102","TZA","Africa"
"103","TGO","Africa"
"104","UGA","Africa"
"105","ZMB","Africa"
"106","COM","Africa"
"107","COD","Africa"
"108","DJI","Africa"
"109","EGY","Africa"
"110","GNQ","Africa"
"111","ERI","Africa"
"112","GAB","Africa"
"113","GMB","Africa"
"114","GNB","Africa"
"115","LBR","Africa"
"116","LBY","Africa"
"117","MLI","Africa"
"118","MRT","Africa"
"119","MUS","Africa"
"120","MAR","Africa"
"121","STP","Africa"
"122","SYC","Africa"
"123","SOM","Africa"
"124","SSD","Africa"
"125","SDN","Africa"
"126","TUN","Africa"
"127","ZWE","Africa"
"128","ARG","Latin America"
"129","BOL","Latin America"
"130","BRA","Latin America"
"131","CHL","Latin America"
"132","COL","Latin America"
"133","ECU","Latin America"
"134","GUY","Latin America"
"135","PRY","Latin America"
"136","URY","Latin America"
"137","SUR","Latin America"
"138","PER","Latin America"
"139","VEN","Latin America"
"140","BLZ","Latin America"
"141","CRI","Latin America"
"142","SLV","Latin America"
"143","NIC","Latin America"
"144","HND","Latin America"
"145","GTM","Latin America"
"146","MEX","Latin America"
"147","PAN","Latin America"
"148","ATG","Latin America"
"149","BHS","Latin America"
"150","BRB","Latin America"
"151","BLZ","Latin America"
"152","DMA","Latin America"
"153","GRD","Latin America"
"154","GUY","Latin America"
"155","HTI","Latin America"
"156","JAM","Latin America"
"157","MSR","Latin America"
"158","LCA","Latin America"
"159","KNA","Latin America"
"160","VCT","Latin America"
"161","SUR","Latin America"
"162","TTO","Latin America"
